Autor;Ano;Número Emenda;Tipo Emenda;Valor Empenhado;UF;Função;Subfunção;Localidade do Gasto;Data do Empenho
ELICORRÊA;2023;20236572;Comissão;R$ 55,504,75;RS;Atenção Básica à Saúde;Ensino Fundamental;DF (UF);06/03/2023
HERCÍLIO DINIZ;2023;20235673;Bancada;R$ 1,174,515,35;PE;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;RJ (UF);01/03/2023
BACELAR;2023;20234105;Individual;R$ 958,380,82;MG;Segurança Pública;Assistência Hospitalar e Ambulatorial;RJ (UF);13/12/2023
GUILHERME MUSSI;2023;20239562;Comissão;R$ 1,558,827,17;PR;Ensino Superior;Ensino Superior;PR (UF);12/09/2023
GUILHERME MUSSI;2023;20234734;Bancada;R$ 1,135,427,73;SP;Vigilância Epidemiológica;Atenção Básica à Saúde;DF (UF);11/01/2023
DANIEL ALMEIDA;2023;20239749;Bancada;R$ 2,464,306,85;PE;Educação Infantil;Atenção Básica à Saúde;RJ (UF);27/05/2023
JULIO CESAR RIBEIRO;2023;20235803;Comissão;R$ 906,708,98;PR;Ensino Fundamental;Ensino Fundamental;PR (UF);05/04/2023
JULIO CESAR RIBEIRO;2023;20231556;Bancada;R$ 1,133,164,20;SP;Assistência Hospitalar e Ambulatorial;Infraestrutura Urbana;MG (UF);23/04/2023
DEPUTADO GUILHERME MUSSI;2023;20231771;Individual;R$ 1,658,092,00;DF;Atenção Básica à Saúde;Infraestrutura Urbana;BA (UF);28/10/2023
CARLOS ZARATTINI;2023;20232454;Comissão;R$ 1,894,223,35;SP;Ensino Superior;Ensino Médio;RJ (UF);10/10/2023
GUILHERME MUSSI FILHO;2023;20238664;Bancada;R$ 1,640,629,05;DF;Infraestrutura Urbana;Ensino Fundamental;SC (UF);17/06/2023
DEPUTADO ELICORRÊA;2023;20234343;Individual;R$ 1,807,577,15;PR;Vigilância Epidemiológica;Infraestrutura Urbana;PR (UF);24/03/2023
DEPUTADO FELIPE BORNIER;2023;20236092;Bancada;R$ 2,637,002,28;RS;Infraestrutura Urbana;Ensino Superior;PE (UF);26/10/2023
EDUARDO BARBOSA;2023;20236806;Bancada;R$ 689,604,83;RJ;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;SP (UF);27/07/2023
BACELAR;2023;20234480;Bancada;R$ 725,352,06;GO;Ensino Superior;Ensino Fundamental;PR (UF);23/09/2023
JULIO CESAR RIBEIRO;2023;20234704;Individual;R$ 1,849,674,05;BA;Ensino Fundamental;Infraestrutura Urbana;DF (UF);28/05/2023
HERCÍLIO DINIZ;2023;20232630;Individual;R$ 4,353,966,95;PR;Assistência Hospitalar e Ambulatorial;Saneamento Básico;BA (UF);08/03/2023
HERCÍLIO DINIZ;2023;20239448;Individual;R$ 2,242,295,07;PE;Ensino Médio;Segurança Pública;BA (UF);09/03/2023
JULIO CESAR RIBEIRO;2023;20235557;Bancada;R$ 1,665,139,63;GO;Ensino Fundamental;Educação Infantil;PR (UF);05/12/2023
EDUARDO BARBOSA;2023;20235424;Bancada;R$ 1,228,243,93;DF;Assistência Hospitalar e Ambulatorial;Saneamento Básico;GO (UF);13/05/2023
ALENCAR SANTANA;2023;20238747;Comissão;R$ 1,474,856,89;PE;Educação Infantil;Saneamento Básico;RJ (UF);09/02/2023
DANIEL ALMEIDA;2023;20231569;Comissão;R$ 1,601,484,78;PR;Atenção Básica à Saúde;Ensino Médio;GO (UF);08/08/2023
GUILHERME MUSSI;2023;20237681;Individual;R$ 4,349,100,13;MG;Ensino Fundamental;Ensino Superior;PE (UF);07/12/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20237820;Bancada;R$ 1,103,657,35;SP;Saneamento Básico;Atenção Básica à Saúde;PR (UF);10/04/2023
ALENCAR SANTANA;2023;20239589;Comissão;R$ 2,974,448,39;DF;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;SP (UF);10/07/2023
BACELAR;2023;20236029;Individual;R$ 2,777,223,56;DF;Atenção Básica à Saúde;Saneamento Básico;SP (UF);17/03/2023
EDUARDO BARBOSA FILHO;2023;20237218;Comissão;R$ 4,485,318,45;MG;Infraestrutura Urbana;Vigilância Epidemiológica;SC (UF);13/07/2023
DANIEL ALMEIDA FILHO;2023;20239611;Bancada;R$ 3,286,350,37;GO;Segurança Pública;Ensino Fundamental;MG (UF);21/10/2023
JULIO CESAR RIBEIRO;2023;20233385;Individual;R$ 510,456,54;DF;Educação Infantil;Infraestrutura Urbana;MG (UF);16/10/2023
FELIPE BORNIER;2023;20235825;Bancada;R$ 3,852,398,87;MG;Ensino Superior;Infraestrutura Urbana;PE (UF);07/05/2023
DEPUTADO EDUARDO BARBOSA;2023;20239228;Individual;R$ 4,650,905,71;SP;Ensino Médio;Segurança Pública;BA (UF);01/04/2023
ELICORRÊA;2023;20237749;Bancada;R$ 1,594,586,15;PR;Ensino Médio;Infraestrutura Urbana;RS (UF);13/05/2023
DANIEL ALMEIDA;2023;20238311;Comissão;R$ 4,002,372,02;DF;Ensino Superior;Assistência Hospitalar e Ambulatorial;GO (UF);25/07/2023
ELICORRÊA;2023;20231465;Bancada;R$ 1,033,315,05;SC;Atenção Básica à Saúde;Ensino Médio;BA (UF);21/02/2023
DEPUTADO BACELAR;2023;20234743;Comissão;R$ 813,491,34;RJ;Assistência Hospitalar e Ambulatorial;Ensino Fundamental;PE (UF);12/05/2023
EDUARDO BARBOSA;2023;20236182;Comissão;R$ 3,274,753,90;PE;Ensino Médio;Assistência Hospitalar e Ambulatorial;SC (UF);03/04/2023
DEPUTADO CARLOS ZARATTINI;2023;20232661;Comissão;R$ 4,165,594,75;SP;Ensino Médio;Atenção Básica à Saúde;SC (UF);21/10/2023
HERCÍLIO DINIZ FILHO;2023;20239826;Comissão;R$ 1,844,237,89;RJ;Ensino Superior;Vigilância Epidemiológica;GO (UF);04/12/2023
ALENCAR SANTANA;2023;20236361;Individual;R$ 4,864,038,36;SP;Assistência Hospitalar e Ambulatorial;Atenção Básica à Saúde;BA (UF);10/04/2023
DANIEL ALMEIDA FILHO;2023;20235257;Comissão;R$ 4,422,998,33;MG;Educação Infantil;Ensino Fundamental;GO (UF);23/07/2023
JULIO CESAR RIBEIRO FILHO;2023;20239066;Bancada;R$ 3,315,272,63;PR;Ensino Médio;Atenção Básica à Saúde;RS (UF);03/08/2023
GUILHERME MUSSI;2023;20233891;Bancada;R$ 3,494,059,80;SP;Segurança Pública;Ensino Superior;MG (UF);04/07/2023
CARLOS ZARATTINI FILHO;2023;20236662;Bancada;R$ 910,143,74;RJ;Segurança Pública;Infraestrutura Urbana;GO (UF);27/03/2023
DEPUTADO HERCÍLIO DINIZ;2023;20232155;Bancada;R$ 3,193,944,24;RJ;Educação Infantil;Saneamento Básico;DF (UF);13/01/2023
ELICORRÊA;2023;20234061;Bancada;R$ 2,143,332,42;PE;Ensino Médio;Saneamento Básico;SP (UF);02/03/2023
DANIEL ALMEIDA FILHO;2023;20234132;Bancada;R$ 2,114,179,81;MG;Assistência Hospitalar e Ambulatorial;Ensino Médio;RJ (UF);26/05/2023
DANIEL ALMEIDA;2023;20239509;Bancada;R$ 1,023,855,06;PR;Atenção Básica à Saúde;Ensino Médio;BA (UF);02/09/2023
HERCÍLIO DINIZ;2023;20237213;Individual;R$ 3,158,603,44;PR;Vigilância Epidemiológica;Vigilância Epidemiológica;BA (UF);14/04/2023
DANIEL ALMEIDA FILHO;2023;20235057;Bancada;R$ 4,421,404,54;SP;Ensino Médio;Segurança Pública;PE (UF);21/04/2023
FELIPE BORNIER;2023;20237380;Individual;R$ 4,094,313,41;SC;Assistência Hospitalar e Ambulatorial;Ensino Superior;BA (UF);17/08/2023
DANIEL ALMEIDA;2023;20235964;Bancada;R$ 2,768,883,79;DF;Educação Infantil;Vigilância Epidemiológica;MG (UF);14/07/2023
HERCÍLIO DINIZ;2023;20238078;Bancada;R$ 2,077,713,42;SC;Vigilância Epidemiológica;Segurança Pública;MG (UF);10/05/2023
ELICORRÊA;2023;20233398;Bancada;R$ 2,933,961,96;SC;Ensino Fundamental;Vigilância Epidemiológica;GO (UF);07/03/2023
HERCÍLIO DINIZ;2023;20234071;Individual;R$ 4,157,567,11;SC;Ensino Fundamental;Saneamento Básico;DF (UF);09/08/2023
ELICORRÊA FILHO;2023;20233106;Bancada;R$ 4,897,265,49;BA;Vigilância Epidemiológica;Assistência Hospitalar e Ambulatorial;RJ (UF);25/01/2023
DANIEL ALMEIDA;2023;20234404;Bancada;R$ 2,219,678,49;RS;Infraestrutura Urbana;Ensino Superior;RJ (UF);27/11/2023
DANIEL ALMEIDA FILHO;2023;20239951;Individual;R$ 2,270,568,14;PE;Vigilância Epidemiológica;Ensino Fundamental;PR (UF);25/01/2023
CARLOS ZARATTINI;2023;20239873;Bancada;R$ 1,139,708,91;PE;Ensino Fundamental;Educação Infantil;RS (UF);04/02/2023
EDUARDO BARBOSA;2023;20239286;Individual;R$ 3,705,928,73;SC;Saneamento Básico;Ensino Médio;RS (UF);16/01/2023
CARLOS ZARATTINI;2023;20236801;Bancada;R$ 3,596,619,49;PR;Educação Infantil;Ensino Superior;SP (UF);07/10/2023
ELICORRÊA FILHO;2023;20236508;Individual;R$ 1,292,708,46;SP;Educação Infantil;Educação Infantil;PR (UF);27/01/2023
FELIPE BORNIER;2023;20237470;Individual;R$ 172,763,72;PE;Atenção Básica à Saúde;Ensino Superior;PE (UF);25/02/2023
ALENCAR SANTANA;2023;20239894;Individual;R$ 3,154,173,79;DF;Educação Infantil;Ensino Médio;SC (UF);25/08/2023
JULIO CESAR RIBEIRO;2023;20236312;Comissão;R$ 3,347,171,44;DF;Ensino Médio;Assistência Hospitalar e Ambulatorial;PR (UF);14/06/2023
GUILHERME MUSSI;2023;20236721;Bancada;R$ 4,515,872,72;SP;Ensino Fundamental;Saneamento Básico;MG (UF);10/06/2023
CARLOS ZARATTINI;2023;20233292;Comissão;R$ 1,278,876,08;SP;Ensino Superior;Ensino Médio;SC (UF);22/11/2023
DANIEL ALMEIDA;2023;20233538;Comissão;R$ 1,055,390,47;PE;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RS (UF);27/11/2023
DEPUTADO GUILHERME MUSSI;2023;20233637;Comissão;R$ 3,878,683,18;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;DF (UF);10/05/2023
FELIPE BORNIER;2023;20232651;Bancada;R$ 3,513,504,55;GO;Educação Infantil;Ensino Superior;BA (UF);06/03/2023
JULIO CESAR RIBEIRO;2023;20231213;Individual;R$ 746,237,40;RJ;Vigilância Epidemiológica;Vigilância Epidemiológica;BA (UF);05/01/2023
GUILHERME MUSSI;2023;20231119;Individual;R$ 3,307,540,86;RS;Ensino Superior;Educação Infantil;SP (UF);15/09/2023
DEPUTADO FELIPE BORNIER;2023;20235012;Individual;R$ 2,206,138,86;BA;Ensino Fundamental;Saneamento Básico;RJ (UF);26/12/2023
JULIO CESAR RIBEIRO;2023;20238829;Bancada;R$ 768,098,09;BA;Infraestrutura Urbana;Infraestrutura Urbana;RS (UF);06/11/2023
DEPUTADO EDUARDO BARBOSA;2023;20232275;Bancada;R$ 2,336,428,17;PR;Vigilância Epidemiológica;Atenção Básica à Saúde;GO (UF);10/05/2023
DEPUTADO ELICORRÊA;2023;20233702;Comissão;R$ 2,579,919,04;GO;Ensino Superior;Assistência Hospitalar e Ambulatorial;PR (UF);12/10/2023
CARLOS ZARATTINI;2023;20236638;Individual;R$ 4,296,913,34;RS;Ensino Fundamental;Ensino Fundamental;PE (UF);23/04/2023
DANIEL ALMEIDA;2023;20239311;Comissão;R$ 4,750,827,16;GO;Ensino Superior;Vigilância Epidemiológica;RJ (UF);16/11/2023
FELIPE BORNIER;2023;20235220;Comissão;R$ 1,411,375,54;GO;Ensino Superior;Vigilância Epidemiológica;GO (UF);28/02/2023
JULIO CESAR RIBEIRO FILHO;2023;20237881;Individual;R$ 3,850,269,63;PR;Ensino Superior;Assistência Hospitalar e Ambulatorial;GO (UF);12/01/2023
DEPUTADO HERCÍLIO DINIZ;2023;20235472;Individual;R$ 4,394,609,27;PE;Vigilância Epidemiológica;Ensino Superior;RS (UF);09/10/2023
JULIO CESAR RIBEIRO FILHO;2023;20231756;Bancada;R$ 3,216,101,19;PE;Atenção Básica à Saúde;Segurança Pública;PE (UF);02/06/2023
ELICORRÊA;2023;20231286;Bancada;R$ 17,660,61;PR;Segurança Pública;Ensino Médio;PR (UF);13/03/2023
ALENCAR SANTANA;2023;20234470;Individual;R$ 3,347,047,43;DF;Ensino Fundamental;Ensino Médio;GO (UF);19/05/2023
BACELAR FILHO;2023;20237690;Individual;R$ 1,710,086,60;RS;Atenção Básica à Saúde;Vigilância Epidemiológica;MG (UF);21/01/2023
DEPUTADO DANIEL ALMEIDA;2023;20234876;Bancada;R$ 562,309,87;SC;Segurança Pública;Segurança Pública;BA (UF);03/07/2023
DEPUTADO BACELAR;2023;20237844;Individual;R$ 2,587,618,19;RS;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;GO (UF);14/11/2023
DEPUTADO ELICORRÊA;2023;20232541;Bancada;R$ 886,579,91;MG;Ensino Fundamental;Vigilância Epidemiológica;PR (UF);22/02/2023
JULIO CESAR RIBEIRO FILHO;2023;20233783;Comissão;R$ 522,297,95;PE;Segurança Pública;Educação Infantil;MG (UF);24/06/2023
EDUARDO BARBOSA;2023;20238087;Individual;R$ 3,602,214,81;SP;Segurança Pública;Vigilância Epidemiológica;PE (UF);19/09/2023
JULIO CESAR RIBEIRO;2023;20239528;Individual;R$ 4,073,550,33;PR;Assistência Hospitalar e Ambulatorial;Saneamento Básico;RJ (UF);25/09/2023
BACELAR;2023;20238164;Comissão;R$ 165,560,44;RS;Ensino Fundamental;Infraestrutura Urbana;SC (UF);28/03/2023
HERCÍLIO DINIZ;2023;20239041;Individual;R$ 1,498,287,24;MG;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;RJ (UF);12/07/2023
ELICORRÊA;2023;20231484;Individual;R$ 4,552,028,07;RS;Assistência Hospitalar e Ambulatorial;Saneamento Básico;MG (UF);07/09/2023
CARLOS ZARATTINI;2023;20237016;Comissão;R$ 3,419,851,17;GO;Educação Infantil;Ensino Superior;PE (UF);13/09/2023
CARLOS ZARATTINI;2023;20232966;Comissão;R$ 3,264,017,77;PE;Ensino Médio;Educação Infantil;BA (UF);11/01/2023
DANIEL ALMEIDA;2023;20236943;Comissão;R$ 99,256,89;DF;Infraestrutura Urbana;Ensino Médio;PE (UF);01/07/2023
CARLOS ZARATTINI;2023;20237009;Comissão;R$ 2,339,629,64;SP;Ensino Superior;Educação Infantil;RS (UF);18/07/2023
DEPUTADO EDUARDO BARBOSA;2023;20232093;Bancada;R$ 3,465,292,62;GO;Saneamento Básico;Infraestrutura Urbana;SP (UF);08/04/2023
ELICORRÊA;2023;20234911;Comissão;R$ 1,338,675,40;SC;Infraestrutura Urbana;Ensino Fundamental;SP (UF);18/11/2023
HERCÍLIO DINIZ;2023;20234207;Bancada;R$ 2,383,898,08;PR;Educação Infantil;Ensino Médio;RJ (UF);19/08/2023
DEPUTADO EDUARDO BARBOSA;2023;20231299;Comissão;R$ 1,214,726,77;SC;Saneamento Básico;Infraestrutura Urbana;MG (UF);13/12/2023
ALENCAR SANTANA;2023;20231846;Individual;R$ 1,868,396,13;RJ;Saneamento Básico;Segurança Pública;BA (UF);11/02/2023
DANIEL ALMEIDA;2023;20239178;Individual;R$ 1,841,637,00;PR;Educação Infantil;Ensino Superior;RS (UF);16/09/2023
DEPUTADO GUILHERME MUSSI;2023;20236757;Comissão;R$ 3,165,059,53;SC;Segurança Pública;Assistência Hospitalar e Ambulatorial;MG (UF);25/03/2023
DANIEL ALMEIDA;2023;20235931;Individual;R$ 3,147,707,48;PR;Segurança Pública;Vigilância Epidemiológica;BA (UF);04/08/2023
ALENCAR SANTANA;2023;20235216;Comissão;R$ 3,500,317,56;RS;Atenção Básica à Saúde;Ensino Fundamental;RJ (UF);04/02/2023
FELIPE BORNIER;2023;20231969;Individual;R$ 3,219,599,94;PR;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;PE (UF);18/08/2023
EDUARDO BARBOSA;2023;20237718;Comissão;R$ 4,938,509,92;SC;Ensino Superior;Ensino Fundamental;BA (UF);14/10/2023
DANIEL ALMEIDA;2023;20234951;Individual;R$ 1,821,206,67;RS;Assistência Hospitalar e Ambulatorial;Educação Infantil;GO (UF);11/03/2023
ELICORRÊA;2023;20231009;Individual;R$ 3,246,283,46;BA;Infraestrutura Urbana;Ensino Superior;BA (UF);08/01/2023
ELICORRÊA;2023;20234600;Comissão;R$ 1,674,760,97;DF;Segurança Pública;Vigilância Epidemiológica;SC (UF);27/10/2023
BACELAR;2023;20238534;Individual;R$ 895,910,12;SC;Ensino Médio;Vigilância Epidemiológica;SP (UF);23/05/2023
DEPUTADO FELIPE BORNIER;2023;20234223;Comissão;R$ 3,694,931,05;DF;Ensino Fundamental;Ensino Fundamental;BA (UF);12/10/2023
CARLOS ZARATTINI;2023;20233758;Bancada;R$ 960,906,68;SC;Atenção Básica à Saúde;Ensino Superior;PE (UF);20/08/2023
ELICORRÊA;2023;20232386;Individual;R$ 3,973,954,25;PE;Vigilância Epidemiológica;Ensino Médio;RS (UF);08/06/2023
CARLOS ZARATTINI;2023;20239304;Bancada;R$ 3,822,425,71;DF;Ensino Médio;Atenção Básica à Saúde;SC (UF);20/09/2023
FELIPE BORNIER FILHO;2023;20236137;Individual;R$ 3,227,136,94;SP;Segurança Pública;Ensino Fundamental;RS (UF);13/10/2023
DANIEL ALMEIDA FILHO;2023;20235699;Comissão;R$ 1,331,277,70;MG;Saneamento Básico;Educação Infantil;MG (UF);03/05/2023
CARLOS ZARATTINI;2023;20235215;Bancada;R$ 2,154,864,59;PR;Ensino Superior;Ensino Superior;SP (UF);08/02/2023
HERCÍLIO DINIZ;2023;20239610;Individual;R$ 2,578,567,83;PR;Ensino Fundamental;Segurança Pública;GO (UF);15/08/2023
EDUARDO BARBOSA FILHO;2023;20239342;Individual;R$ 4,348,004,12;SC;Saneamento Básico;Saneamento Básico;GO (UF);02/01/2023
BACELAR;2023;20238611;Bancada;R$ 2,060,515,56;PE;Saneamento Básico;Ensino Médio;RJ (UF);17/04/2023
EDUARDO BARBOSA;2023;20231984;Individual;R$ 1,250,458,43;SC;Ensino Superior;Ensino Fundamental;PR (UF);19/06/2023
DEPUTADO DANIEL ALMEIDA;2023;20237738;Comissão;R$ 3,511,277,19;SC;Ensino Superior;Infraestrutura Urbana;GO (UF);22/04/2023
HERCÍLIO DINIZ;2023;20235719;Individual;R$ 3,084,560,83;RS;Assistência Hospitalar e Ambulatorial;Vigilância Epidemiológica;BA (UF);08/05/2023
DEPUTADO HERCÍLIO DINIZ;2023;20234464;Individual;R$ 1,764,599,14;DF;Vigilância Epidemiológica;Ensino Médio;RJ (UF);22/10/2023
EDUARDO BARBOSA FILHO;2023;20237082;Bancada;R$ 810,434,95;PE;Ensino Médio;Infraestrutura Urbana;RS (UF);21/05/2023
FELIPE BORNIER;2023;20238136;Bancada;R$ 1,861,007,78;SP;Assistência Hospitalar e Ambulatorial;Assistência Hospitalar e Ambulatorial;PR (UF);04/12/2023
JULIO CESAR RIBEIRO FILHO;2023;20233027;Bancada;R$ 4,880,578,66;MG;Vigilância Epidemiológica;Ensino Médio;MG (UF);04/08/2023
ALENCAR SANTANA FILHO;2023;20232908;Comissão;R$ 2,944,876,16;RS;Atenção Básica à Saúde;Ensino Superior;BA (UF);15/03/2023
DEPUTADO DANIEL ALMEIDA;2023;20238159;Comissão;R$ 3,460,708,23;SC;Saneamento Básico;Atenção Básica à Saúde;GO (UF);08/09/2023
CARLOS ZARATTINI;2023;20234713;Individual;R$ 3,291,453,63;PR;Atenção Básica à Saúde;Ensino Médio;PE (UF);25/05/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20237854;Comissão;R$ 3,943,171,38;SC;Infraestrutura Urbana;Segurança Pública;BA (UF);11/01/2023
HERCÍLIO DINIZ;2023;20235621;Individual;R$ 261,518,38;SC;Assistência Hospitalar e Ambulatorial;Saneamento Básico;SC (UF);12/11/2023
EDUARDO BARBOSA FILHO;2023;20239052;Bancada;R$ 4,657,926,20;PR;Infraestrutura Urbana;Assistência Hospitalar e Ambulatorial;MG (UF);10/11/2023
DANIEL ALMEIDA;2023;20231536;Individual;R$ 2,547,139,32;SP;Saneamento Básico;Saneamento Básico;SC (UF);26/09/2023
EDUARDO BARBOSA;2023;20237464;Individual;R$ 2,367,565,69;GO;Ensino Superior;Ensino Médio;SC (UF);14/05/2023
FELIPE BORNIER FILHO;2023;20236654;Bancada;R$ 4,489,600,80;SP;Infraestrutura Urbana;Ensino Fundamental;RS (UF);12/12/2023
HERCÍLIO DINIZ;2023;20233789;Comissão;R$ 1,734,827,03;SC;Infraestrutura Urbana;Educação Infantil;GO (UF);11/09/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20231872;Individual;R$ 2,785,420,04;PR;Educação Infantil;Ensino Médio;PE (UF);12/08/2023
HERCÍLIO DINIZ;2023;20231468;Comissão;R$ 2,012,913,78;SC;Educação Infantil;Ensino Superior;PE (UF);20/08/2023
GUILHERME MUSSI;2023;20232186;Comissão;R$ 1,627,633,84;RS;Ensino Médio;Assistência Hospitalar e Ambulatorial;PE (UF);11/08/2023
HERCÍLIO DINIZ FILHO;2023;20235372;Comissão;R$ 3,010,196,99;DF;Infraestrutura Urbana;Saneamento Básico;MG (UF);25/06/2023
ALENCAR SANTANA;2023;20233529;Comissão;R$ 3,468,749,34;GO;Ensino Médio;Atenção Básica à Saúde;PR (UF);22/09/2023
JULIO CESAR RIBEIRO;2023;20239499;Bancada;R$ 203,655,21;MG;Educação Infantil;Ensino Superior;SP (UF);10/07/2023
DEPUTADO FELIPE BORNIER;2023;20238640;Individual;R$ 950,277,93;PR;Ensino Superior;Ensino Superior;MG (UF);12/07/2023
ALENCAR SANTANA;2023;20231496;Bancada;R$ 3,893,526,05;SP;Infraestrutura Urbana;Atenção Básica à Saúde;RJ (UF);21/06/2023
JULIO CESAR RIBEIRO;2023;20238647;Individual;R$ 2,039,299,54;MG;Ensino Fundamental;Educação Infantil;RJ (UF);23/09/2023
DANIEL ALMEIDA FILHO;2023;20231876;Bancada;R$ 3,918,157,01;PE;Educação Infantil;Ensino Superior;RJ (UF);23/06/2023
BACELAR;2023;20234825;Bancada;R$ 4,985,800,54;SP;Segurança Pública;Ensino Fundamental;PR (UF);13/04/2023
ALENCAR SANTANA;2023;20237593;Individual;R$ 1,439,775,02;PE;Atenção Básica à Saúde;Atenção Básica à Saúde;RJ (UF);27/08/2023
ELICORRÊA;2023;20231802;Comissão;R$ 466,574,99;PR;Ensino Superior;Ensino Fundamental;RJ (UF);24/02/2023
BACELAR FILHO;2023;20239091;Bancada;R$ 45,205,68;RS;Vigilância Epidemiológica;Saneamento Básico;GO (UF);01/02/2023
CARLOS ZARATTINI;2023;20232045;Individual;R$ 2,393,888,48;GO;Ensino Médio;Educação Infantil;MG (UF);24/12/2023
FELIPE BORNIER;2023;20239150;Comissão;R$ 4,459,917,74;RS;Infraestrutura Urbana;Ensino Superior;SP (UF);10/08/2023
DEPUTADO ELICORRÊA;2023;20231170;Comissão;R$ 1,987,865,31;DF;Atenção Básica à Saúde;Educação Infantil;GO (UF);28/10/2023
ALENCAR SANTANA;2023;20232265;Individual;R$ 2,886,096,31;RS;Segurança Pública;Atenção Básica à Saúde;SP (UF);11/04/2023
JULIO CESAR RIBEIRO;2023;20238547;Individual;R$ 1,263,245,97;GO;Saneamento Básico;Vigilância Epidemiológica;MG (UF);18/06/2023
FELIPE BORNIER;2023;20235488;Individual;R$ 2,440,723,17;PE;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;DF (UF);14/08/2023
GUILHERME MUSSI FILHO;2023;20236331;Individual;R$ 150,451,09;GO;Vigilância Epidemiológica;Segurança Pública;RJ (UF);26/03/2023
BACELAR;2023;20231167;Individual;R$ 4,498,221,38;PE;Vigilância Epidemiológica;Infraestrutura Urbana;DF (UF);12/10/2023
ALENCAR SANTANA;2023;20237399;Comissão;R$ 356,574,35;GO;Assistência Hospitalar e Ambulatorial;Educação Infantil;PE (UF);06/11/2023
DEPUTADO BACELAR;2023;20234884;Bancada;R$ 2,453,611,49;GO;Atenção Básica à Saúde;Atenção Básica à Saúde;MG (UF);15/10/2023
BACELAR;2023;20231413;Bancada;R$ 749,761,62;RS;Vigilância Epidemiológica;Ensino Fundamental;RJ (UF);15/12/2023
JULIO CESAR RIBEIRO;2023;20236959;Comissão;R$ 2,352,368,54;GO;Vigilância Epidemiológica;Ensino Médio;DF (UF);01/03/2023
DEPUTADO ELICORRÊA;2023;20231551;Bancada;R$ 3,761,856,16;PR;Segurança Pública;Atenção Básica à Saúde;SC (UF);10/11/2023
GUILHERME MUSSI;2023;20234879;Bancada;R$ 4,221,431,25;BA;Vigilância Epidemiológica;Segurança Pública;DF (UF);01/08/2023
BACELAR;2023;20236016;Comissão;R$ 4,214,149,70;SC;Vigilância Epidemiológica;Segurança Pública;PR (UF);06/04/2023
ELICORRÊA;2023;20235082;Bancada;R$ 4,523,537,55;RS;Saneamento Básico;Atenção Básica à Saúde;BA (UF);24/09/2023
DANIEL ALMEIDA;2023;20232443;Individual;R$ 2,184,027,90;SC;Atenção Básica à Saúde;Assistência Hospitalar e Ambulatorial;BA (UF);01/12/2023
ELICORRÊA;2023;20238282;Individual;R$ 3,878,222,46;DF;Atenção Básica à Saúde;Infraestrutura Urbana;DF (UF);17/10/2023
BACELAR;2023;20232680;Bancada;R$ 3,857,455,83;RJ;Ensino Superior;Ensino Superior;MG (UF);02/11/2023
DEPUTADO JULIO CESAR RIBEIRO;2023;20237309;Comissão;R$ 3,659,907,94;GO;Vigilância Epidemiológica;Ensino Superior;RJ (UF);11/05/2023
DANIEL ALMEIDA;2023;20238722;Comissão;R$ 3,745,687,40;RJ;Ensino Fundamental;Assistência Hospitalar e Ambulatorial;RS (UF);14/01/2023
ELICORRÊA;2023;20232864;Comissão;R$ 2,381,627,68;BA;Ensino Fundamental;Educação Infantil;SC (UF);15/02/2023
CARLOS ZARATTINI FILHO;2023;20237236;Comissão;R$ 794,305,74;PR;Atenção Básica à Saúde;Atenção Básica à Saúde;MG (UF);17/04/2023
HERCÍLIO DINIZ FILHO;2023;20238067;Individual;R$ 981,238,34;SP;Atenção Básica à Saúde;Vigilância Epidemiológica;RJ (UF);13/08/2023
EDUARDO BARBOSA;2023;20238068;Individual;R$ 3,447,990,25;BA;Ensino Médio;Saneamento Básico;PR (UF);06/02/2023
GUILHERME MUSSI;2023;20238665;Individual;R$ 4,889,528,68;RJ;Segurança Pública;Ensino Superior;PR (UF);03/05/2023
ALENCAR SANTANA;2023;20239796;Comissão;R$ 1,084,139,36;MG;Vigilância Epidemiológica;Ensino Médio;PE (UF);14/11/2023
CARLOS ZARATTINI;2023;20233405;Comissão;R$ 40,730,25;RJ;Educação Infantil;Ensino Médio;GO (UF);01/08/2023
ALENCAR SANTANA;2023;20239346;Comissão;R$ 1,699,372,13;PE;Educação Infantil;Educação Infantil;SC (UF);19/08/2023
DEPUTADO BACELAR;2023;20239758;Bancada;R$ 3,658,096,78;GO;Ensino Superior;Assistência Hospitalar e Ambulatorial;RJ (UF);05/12/2023
FELIPE BORNIER;2023;20237423;Comissão;R$ 1,754,124,35;PE;Saneamento Básico;Ensino Médio;PE (UF);22/09/2023
HERCÍLIO DINIZ;2023;20239328;Comissão;R$ 3,377,947,01;RJ;Assistência Hospitalar e Ambulatorial;Ensino Superior;BA (UF);12/02/2023
